category,accuracy,correct,total,needs_improvement
men-dress-shoes,0.10476190476190476,11,105,True
mens-shirts,0.10273972602739725,15,146,True
girls-dresses,0.059322033898305086,7,118,True
womens-pants,0.05458515283842795,25,458,True
mens-quilted-jacket,0.04918032786885246,3,61,True
girls-sweaters,0.045454545454545456,1,22,True
womens-sweatshirts,0.04477611940298507,12,268,True
womens-pajamas,0.023255813953488372,2,86,True
men-s-suit,0.020833333333333332,1,48,True
dresses,0.018121911037891267,11,607,True
womens-jumpsuits,0.015625,1,64,True
baby-clothing,0.015254237288135594,9,590,True
womens-necklaces,0.014492753623188406,2,138,True
mens-undergarments,0.012048192771084338,2,166,True
mens-backpacks,0.011904761904761904,1,84,True
womens-tracksuits,0.00909090909090909,1,110,True
mens-outdoor-shoes,0.00819672131147541,1,122,True
baby-shoes,0.006430868167202572,2,311,True
womens-tops-tank-tops-and-t-shirts,0.005970149253731343,6,1005,True
womens-sneakers,0.0030257186081694403,2,661,True
girls-t-shirts-and-shirts,0.0024875621890547263,1,402,True
mens-t-shirts-and-tank-tops,0.00129366106080207,2,1546,True
bed-linen,0.0,0,117,True
baby-accessories,0.0,0,18,True
bathroom,0.0,0,52,True
boys-jackets-coats-and-vests,0.0,0,47,True
boys-accessories,0.0,0,98,True
bikinis,0.0,0,523,True
bedroom,0.0,0,101,True
boys-shorts,0.0,0,39,True
boys-shoes,0.0,0,266,True
boys-pants,0.0,0,77,True
boys-overalls,0.0,0,33,True
kids-room,0.0,0,52,True
handbags,0.0,0,449,True
heels,0.0,0,133,True
islamic-clothing,0.0,0,154,True
girls-sweatshirts,0.0,0,35,True
girls-sleepwear,0.0,0,53,True
girls-shoes,0.0,0,266,True
girls-undergarments,0.0,0,50,True
girls-jump-suits,0.0,0,45,True
girls-jackets-coats-and-vests,0.0,0,23,True
girls-overalls,0.0,0,19,True
decor,0.0,0,162,True
mens-coats,0.0,0,29,True
mens-boots,0.0,0,57,True
mens-bombers,0.0,0,84,True
mens-belts,0.0,0,30,True
mens-bags,0.0,0,86,True
mens-headwear,0.0,0,98,True
mens-football-shoes,0.0,0,18,True
mens-denim-jackets,0.0,0,56,True
mens-loafers-and-moccasins,0.0,0,48,True
mens-leather-jackets,0.0,0,28,True
mens-parkas,0.0,0,36,True
mens-pants,0.0,0,251,True
mens-sandals,0.0,0,34,True
mens-short,0.0,0,166,True
mens-flip-flops,0.0,0,45,True
mens-eyeglasses,0.0,0,23,True
mens-slides,0.0,0,115,True
mens-sleepwear,0.0,0,20,True
mens-slippers,0.0,0,19,True
mens-sneakers,0.0,0,690,True
mens-sunglasses,0.0,0,60,True
mens-sweaters,0.0,0,84,True
mens-sport-jackets,0.0,0,153,True
mens-suitcases-and-travel-bags,0.0,0,50,True
living-room,0.0,0,37,True
lighting,0.0,0,63,True
kitchen,0.0,0,148,True
girls-pants,0.0,0,87,True
girls-shorts,0.0,0,19,True
girls-accessories,0.0,0,79,True
boys-t-shirts,0.0,0,261,True
boys-sweatshirts,0.0,0,49,True
mens-windbreakers,0.0,0,64,True
mens-watches,0.0,0,66,True
mens-wallets,0.0,0,43,True
mens-vests,0.0,0,40,True
mens-tracksuits,0.0,0,29,True
mens-ties,0.0,0,25,True
mens-sweatshirts,0.0,0,273,True
mens-swimwear,0.0,0,38,True
office,0.0,0,37,True
one-piece-swimsuits,0.0,0,109,True
panties-and-thongs,0.0,0,206,True
shoulder-bags,0.0,0,56,True
sport-and-outdoor,0.0,0,89,True
underwear-sets,0.0,0,19,True
unisex,0.0,0,144,True
women-co-ord-sets,0.0,0,57,True
womens-blouses-and-shirts,0.0,0,520,True
womens-bombers,0.0,0,47,True
womens-boots-and-booties,0.0,0,225,True
womens-bracelets,0.0,0,92,True
womens-bras,0.0,0,238,True
womens-chains,0.0,0,22,True
womens-coats,0.0,0,111,True
womens-denim-jackets,0.0,0,63,True
women-dress-shoes,0.0,0,152,True
women-face-masks,0.0,0,31,True
women-s-cosmetics,0.0,0,91,True
women-s-nightgowns,0.0,0,68,True
women-s-shorts,0.0,0,213,True
womens-backpacks,0.0,0,126,True
womens-bathrobes,0.0,0,61,True
womens-belts,0.0,0,31,True
womens-hosiery,0.0,0,27,True
womens-headwear,0.0,0,131,True
womens-hair-accessories,0.0,0,49,True
womens-flip-flops,0.0,0,478,True
womens-flats,0.0,0,67,True
womens-fanny-packs,0.0,0,38,True
womens-espadrilles,0.0,0,143,True
womens-earrings,0.0,0,224,True
womens-outdoor-shoes,0.0,0,82,True
womens-parkas,0.0,0,47,True
womens-pendants,0.0,0,25,True
womens-quilted-jackets,0.0,0,258,True
womens-loafers-and-moccasins,0.0,0,126,True
womens-leather-jackets,0.0,0,58,True
womens-mule,0.0,0,33,True
womens-kaftans-and-sarongs,0.0,0,28,True
womens-skirts,0.0,0,136,True
womens-shawls-and-scarves,0.0,0,81,True
womens-sandals,0.0,0,412,True
womens-rings,0.0,0,48,True
womens-sport-jackets,0.0,0,70,True
womens-slides,0.0,0,112,True
womens-snow-boots,0.0,0,64,True
womens-socks,0.0,0,183,True
womens-sunglasses,0.0,0,122,True
womens-suitcase,0.0,0,28,True
womens-suit-jackets-and-blazers,0.0,0,67,True
womens-sweaters,0.0,0,252,True
womens-vests,0.0,0,51,True
womens-wallets,0.0,0,115,True
womens-watches,0.0,0,56,True
womens-windbreakers,0.0,0,50,True
