category,accuracy,correct,total,status
womens-sweatshirts,0.0708955223880597,19,268,❌
womens-leather-jackets,0.06896551724137931,4,58,❌
girls-jackets-coats-and-vests,0.043478260869565216,1,23,❌
boys-sweatshirts,0.04081632653061224,2,49,❌
bathroom,0.038461538461538464,2,52,❌
mens-windbreakers,0.03125,2,64,❌
womens-socks,0.0273224043715847,5,183,❌
dresses,0.019769357495881382,12,607,❌
boys-shoes,0.018796992481203006,5,266,❌
shoulder-bags,0.017857142857142856,1,56,❌
womens-watches,0.017857142857142856,1,56,❌
mens-watches,0.015151515151515152,1,66,❌
womens-flats,0.014925373134328358,1,67,❌
baby-clothing,0.010169491525423728,6,590,❌
bikinis,0.009560229445506692,5,523,❌
one-piece-swimsuits,0.009174311926605505,1,109,❌
womens-slides,0.008928571428571428,1,112,❌
heels,0.007518796992481203,1,133,❌
mens-shirts,0.00684931506849315,1,146,❌
mens-short,0.006024096385542169,1,166,❌
mens-sweatshirts,0.003663003663003663,1,273,❌
baby-shoes,0.003215434083601286,1,311,❌
womens-sneakers,0.0030257186081694403,2,661,❌
womens-tops-tank-tops-and-t-shirts,0.0029850746268656717,3,1005,❌
womens-sandals,0.0024271844660194173,1,412,❌
mens-sneakers,0.0014492753623188406,1,690,❌
boys-accessories,0.0,0,98,❌
baby-accessories,0.0,0,18,❌
bed-linen,0.0,0,117,❌
boys-shorts,0.0,0,39,❌
boys-pants,0.0,0,77,❌
boys-overalls,0.0,0,33,❌
boys-jackets-coats-and-vests,0.0,0,47,❌
bedroom,0.0,0,101,❌
kids-room,0.0,0,52,❌
handbags,0.0,0,449,❌
islamic-clothing,0.0,0,154,❌
girls-t-shirts-and-shirts,0.0,0,402,❌
girls-undergarments,0.0,0,50,❌
girls-overalls,0.0,0,19,❌
girls-pants,0.0,0,87,❌
decor,0.0,0,162,❌
girls-accessories,0.0,0,79,❌
girls-dresses,0.0,0,118,❌
boys-t-shirts,0.0,0,261,❌
mens-coats,0.0,0,29,❌
mens-boots,0.0,0,57,❌
mens-bombers,0.0,0,84,❌
mens-belts,0.0,0,30,❌
